cd,schooldist,council,zipcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,zonedist1,spdist1,ltdheight,landuse,ext,proxcode,irrlotcode,lottype,borocode,edesignum,sanitdistrict,healthcenterdistrict,pfirm15_flag,block,lot
"29031342, 0.000499750124937531","5686033.204, 0.000499750124937531","7156358.866, 0.000499750124937531","11276475.413, 0.000499750124937531","12343137.076, 0.000499750124937531","17105217.518, 0.000499750124937531","13997188.68, 0.000499750124937531","692641.514, 0.000499750124937531","589723.907, 0.000499750124937531","36945.75, 0.000499750124937531","163122.039, 0.000499750124937531","17870.297, 0.000499750124937531","81104.029, 0.000499750124937531","36375.795, 0.000499750124937531","76101.365, 0.000499750124937531","11417.615, 0.000499750124937531","13211.412, 0.000999500249875062","694055.44, 0.000499750124937531","4350.554, 0.000499750124937531","18112525.246, 0.000499750124937531","5974407.265, 0.000499750124937531","117369.374, 0.000499750124937531","10176462.569, 0.000499750124937531","331756.432, 0.0154922538730635"
"5686033.204, 0.000499750124937531","26469753, 0.000499750124937531","14603891.175, 0.000499750124937531","20702415.488, 0.000499750124937531","22735194.545, 0.000499750124937531","20431440.594, 0.000499750124937531","14060749.092, 0.000499750124937531","3411880.449, 0.000499750124937531","1587240.99, 0.000499750124937531","217327.907, 0.000499750124937531","199919.696, 0.000499750124937531","37753.024, 0.000499750124937531","308364.018, 0.000499750124937531","124064.187, 0.000499750124937531","214836.603, 0.000499750124937531","18528.951, 0.000499750124937531","29698.671, 0.000499750124937531","3408832.101, 0.000499750124937531","22651.419, 0.000499750124937531","5677388.227, 0.000499750124937531","14649766.852, 0.000499750124937531","102583.287, 0.000499750124937531","13291975.152, 0.000499750124937531","215627.91, 0.000499750124937531"
"7156358.866, 0.000499750124937531","14603891.175, 0.000499750124937531","42693150, 0.000499750124937531","29989386.952, 0.000499750124937531","33695308.807, 0.000499750124937531","24769321.833, 0.000499750124937531","21904873.377, 0.000499750124937531","3351734.088, 0.000499750124937531","2225726.31, 0.000499750124937531","260463.923, 0.000499750124937531","391317.064, 0.000499750124937531","73528.318, 0.000499750124937531","343930.391, 0.000499750124937531","135441.103, 0.000499750124937531","228369.384, 0.000499750124937531","25461.852, 0.000499750124937531","38178.212, 0.000499750124937531","3360969.42, 0.000499750124937531","20065.588, 0.000499750124937531","7147008.382, 0.000499750124937531","15513488.463, 0.000499750124937531","166636.72, 0.000499750124937531","21531690.544, 0.000499750124937531","289131.076, 0.000499750124937531"
"11276475.413, 0.000499750124937531","20702415.488, 0.000499750124937531","29989386.952, 0.000499750124937531","181872819, 0.000499750124937531","93948053.589, 0.000499750124937531","45006051.832, 0.000499750124937531","55662840.121, 0.000499750124937531","3411946.37, 0.000499750124937531","6934560.437, 0.000499750124937531","444813.133, 0.000499750124937531","547719.468, 0.000499750124937531","324149.538, 0.000499750124937531","439323.472, 0.000499750124937531","159978.812, 0.000499750124937531","274726.763, 0.000499750124937531","45334.202, 0.000499750124937531","77133.606, 0.000499750124937531","3409426.439, 0.000499750124937531","44510.158, 0.000499750124937531","11348337.289, 0.000499750124937531","20568673.573, 0.000499750124937531","373210.672, 0.000499750124937531","77371489.171, 0.000499750124937531","1083572.483, 0.0154922538730635"
"12343137.076, 0.000499750124937531","22735194.545, 0.000499750124937531","33695308.807, 0.000499750124937531","93948053.589, 0.000499750124937531","297144324, 0.000499750124937531","53061244.266, 0.000499750124937531","81887903.257, 0.000499750124937531","3411587.998, 0.000499750124937531","11450937.518, 0.000499750124937531","593374.907, 0.000499750124937531","623256.128, 0.000499750124937531","411858.786, 0.000499750124937531","521330.585, 0.000499750124937531","170956.746, 0.000499750124937531","304670.041, 0.000499750124937531","53734.855, 0.000499750124937531","106583.409, 0.000499750124937531","3409278.09, 0.000499750124937531","68555.028, 0.000499750124937531","12245853.866, 0.000499750124937531","22043559.037, 0.000499750124937531","450382.31, 0.000499750124937531","146478415.8, 0.000499750124937531","1139721.152, 0.000499750124937531"
"17105217.518, 0.000499750124937531","20431440.594, 0.000499750124937531","24769321.833, 0.000499750124937531","45006051.832, 0.000499750124937531","53061244.266, 0.000499750124937531","70870629, 0.000499750124937531","36496181.383, 0.000499750124937531","3411513.11, 0.000499750124937531","3248243.774, 0.000499750124937531","274937.504, 0.000499750124937531","387703.869, 0.000499750124937531","189783.122, 0.000499750124937531","375142.498, 0.000499750124937531","138102.963, 0.000499750124937531","236888.758, 0.000499750124937531","33383.743, 0.000499750124937531","47141.029, 0.000499750124937531","3408579.606, 0.000499750124937531","29110.761, 0.000499750124937531","13837618.07, 0.000499750124937531","21157214.8, 0.000499750124937531","292737.95, 0.000499750124937531","32361405.139, 0.000499750124937531","453339.494, 0.0254872563718141"
"13997188.68, 0.000499750124937531","14060749.092, 0.000499750124937531","21904873.377, 0.000499750124937531","55662840.121, 0.000499750124937531","81887903.257, 0.000499750124937531","36496181.383, 0.000499750124937531","194680764, 0.000499750124937531","2057885.259, 0.000499750124937531","6183783.728, 0.000499750124937531","275053.469, 0.000499750124937531","456926.852, 0.000499750124937531","222728.08, 0.000499750124937531","311845.565, 0.000499750124937531","132266.91, 0.000499750124937531","226023.001, 0.000499750124937531","36726.037, 0.000499750124937531","55148.776, 0.000499750124937531","2059622.546, 0.000499750124937531","25547.33, 0.000499750124937531","9700790.992, 0.000499750124937531","19808546.018, 0.000499750124937531","356235.679, 0.000499750124937531","92934578.123, 0.000499750124937531","602255.703, 0.112443778110945"
"692641.514, 0.000499750124937531","3411880.449, 0.000499750124937531","3351734.088, 0.000499750124937531","3411946.37, 0.000499750124937531","3411587.998, 0.000499750124937531","3411513.11, 0.000499750124937531","2057885.259, 0.000499750124937531","3415452, 0.000499750124937531","417075.02, 0.000499750124937531","104721.798, 0.000499750124937531","153663.499, 0.000499750124937531","6714.449, 0.000499750124937531","178369.138, 0.000499750124937531","92205.587, 0.000499750124937531","112771.971, 0.000499750124937531","11674.389, 0.000499750124937531","13652.111, 0.000499750124937531","3405570.913, 0.000499750124937531","6012.941, 0.000499750124937531","693145.01, 0.000499750124937531","3405900.302, 0.000499750124937531","5589.201, 0.000499750124937531","1292974.261, 0.000499750124937531","77859.681, 0.000499750124937531"
"589723.907, 0.000499750124937531","1587240.99, 0.000499750124937531","2225726.31, 0.000499750124937531","6934560.437, 0.000499750124937531","11450937.518, 0.000499750124937531","3248243.774, 0.000499750124937531","6183783.728, 0.000499750124937531","417075.02, 0.000499750124937531","52085643, 0.000499750124937531","100627.482, 0.000499750124937531","32389.989, 0.000499750124937531","19171.09, 0.000499750124937531","181751.847, 0.000499750124937531","55620.51, 0.000499750124937531","93611.762, 0.000499750124937531","7746.3, 0.000499750124937531","19810.221, 0.000499750124937531","417208.558, 0.000499750124937531","11078.737, 0.000499750124937531","608634.178, 0.000499750124937531","1384379.967, 0.000499750124937531","19556.587, 0.000499750124937531","19080128.899, 0.000499750124937531","128030.317, 0.687156421789105"
"36945.75, 0.000499750124937531","217327.907, 0.000499750124937531","260463.923, 0.000499750124937531","444813.133, 0.000499750124937531","593374.907, 0.000499750124937531","274937.504, 0.000499750124937531","275053.469, 0.000499750124937531","104721.798, 0.000499750124937531","100627.482, 0.000499750124937531","2561589, 0.000499750124937531","41135.204, 0.000499750124937531","160.1, 0.000499750124937531","356412.505, 0.000499750124937531","15492.122, 0.000499750124937531","52757.248, 0.000499750124937531","19268.77, 0.000499750124937531","18775.014, 0.000499750124937531","104248.198, 0.000499750124937531","51354.944, 0.000499750124937531","36490.11, 0.000499750124937531","227027.805, 0.000499750124937531","2959.756, 0.000499750124937531","756873.212, 0.000499750124937531","19286.638, 0.000499750124937531"
"163122.039, 0.000499750124937531","199919.696, 0.000499750124937531","391317.064, 0.000499750124937531","547719.468, 0.000499750124937531","623256.128, 0.000499750124937531","387703.869, 0.000499750124937531","456926.852, 0.000499750124937531","153663.499, 0.000499750124937531","32389.989, 0.000499750124937531","41135.204, 0.000499750124937531","853863, 0.000499750124937531","142.077, 0.000499750124937531","12681.822, 0.000499750124937531","5149.315, 0.000499750124937531","1757.118, 0.000499750124937531","4117.264, 0.000499750124937531","1396.388, 0.000499750124937531","153682.765, 0.000499750124937531","7372.601, 0.000499750124937531","162757.156, 0.000499750124937531","186935.878, 0.000499750124937531","789.917, 0.000499750124937531","414873.052, 0.000499750124937531","14690.88, 0.000499750124937531"
"17870.297, 0.000499750124937531","37753.024, 0.000499750124937531","73528.318, 0.000499750124937531","324149.538, 0.000499750124937531","411858.786, 0.000499750124937531","189783.122, 0.000499750124937531","222728.08, 0.000499750124937531","6714.449, 0.000499750124937531","19171.09, 0.000499750124937531","160.1, 0.000499750124937531","142.077, 0.000499750124937531","853863, 0.000499750124937531","2559.116, 0.000499750124937531","503.258, 0.000499750124937531","1677.219, 0.000499750124937531","30.207, 0.000499750124937531","103.12, 0.000499750124937531","6696.119, 0.000499750124937531","27.248, 0.000499750124937531","18249.362, 0.000499750124937531","118565.692, 0.000499750124937531","248.306, 0.000499750124937531","341148.075, 0.000499750124937531","980.835, 0.999500249875062"
"81104.029, 0.000499750124937531","308364.018, 0.000499750124937531","343930.391, 0.000499750124937531","439323.472, 0.000499750124937531","521330.585, 0.000499750124937531","375142.498, 0.000499750124937531","311845.565, 0.000499750124937531","178369.138, 0.000499750124937531","181751.847, 0.000499750124937531","356412.505, 0.000499750124937531","12681.822, 0.000499750124937531","2559.116, 0.000499750124937531","9392493, 0.000499750124937531","87925.93, 0.000499750124937531","462384.576, 0.000499750124937531","66007.322, 0.000499750124937531","143789.921, 0.000499750124937531","178264.438, 0.000499750124937531","36931.459, 0.000499750124937531","75323.704, 0.000499750124937531","313547.143, 0.000499750124937531","17397.559, 0.000499750124937531","901163.133, 0.000499750124937531","122588.313, 0.000499750124937531"
"36375.795, 0.000499750124937531","124064.187, 0.000499750124937531","135441.103, 0.000499750124937531","159978.812, 0.000499750124937531","170956.746, 0.000499750124937531","138102.963, 0.000499750124937531","132266.91, 0.000499750124937531","92205.587, 0.000499750124937531","55620.51, 0.000499750124937531","15492.122, 0.000499750124937531","5149.315, 0.000499750124937531","503.258, 0.000499750124937531","87925.93, 0.000499750124937531","853863, 0.000499750124937531","111275.334, 0.000499750124937531","6789.419, 0.000499750124937531","9444.311, 0.000499750124937531","92198.788, 0.000499750124937531","2797.552, 0.000499750124937531","36073.794, 0.000499750124937531","123344.248, 0.000499750124937531","2237.789, 0.000499750124937531","190356.858, 0.000499750124937531","10097.001, 0.000499750124937531"
"76101.365, 0.000499750124937531","214836.603, 0.000499750124937531","228369.384, 0.000499750124937531","274726.763, 0.000499750124937531","304670.041, 0.000499750124937531","236888.758, 0.000499750124937531","226023.001, 0.000499750124937531","112771.971, 0.000499750124937531","93611.762, 0.000499750124937531","52757.248, 0.000499750124937531","1757.118, 0.000499750124937531","1677.219, 0.000499750124937531","462384.576, 0.000499750124937531","111275.334, 0.000499750124937531","1707726, 0.000499750124937531","24265.693, 0.000499750124937531","44122.813, 0.000499750124937531","112554.161, 0.000499750124937531","7890.988, 0.000499750124937531","75932.443, 0.000499750124937531","214046.974, 0.000499750124937531","2016.704, 0.000499750124937531","392720.787, 0.000499750124937531","51157.529, 0.000499750124937531"
"11417.615, 0.000499750124937531","18528.951, 0.000499750124937531","25461.852, 0.000499750124937531","45334.202, 0.000499750124937531","53734.855, 0.000499750124937531","33383.743, 0.000499750124937531","36726.037, 0.000499750124937531","11674.389, 0.000499750124937531","7746.3, 0.000499750124937531","19268.77, 0.000499750124937531","4117.264, 0.000499750124937531","30.207, 0.000499750124937531","66007.322, 0.000499750124937531","6789.419, 0.000499750124937531","24265.693, 0.000499750124937531","853863, 0.000499750124937531","37421.763, 0.000499750124937531","11666.537, 0.000499750124937531","3103.595, 0.000499750124937531","11227.824, 0.000499750124937531","20537.225, 0.000499750124937531","1751.007, 0.000499750124937531","138559.666, 0.000499750124937531","21498.427, 0.000499750124937531"
"13211.412, 0.00149925037481259","29698.671, 0.000499750124937531","38178.212, 0.000499750124937531","77133.606, 0.000499750124937531","106583.409, 0.000499750124937531","47141.029, 0.000499750124937531","55148.776, 0.000499750124937531","13652.111, 0.000499750124937531","19810.221, 0.000499750124937531","18775.014, 0.000499750124937531","1396.388, 0.000499750124937531","103.12, 0.000499750124937531","143789.921, 0.000499750124937531","9444.311, 0.000499750124937531","44122.813, 0.000499750124937531","37421.763, 0.000499750124937531","7684767, 0.000499750124937531","13610.859, 0.000499750124937531","3328.339, 0.000499750124937531","11092.931, 0.000499750124937531","35384.22, 0.000499750124937531","15467.888, 0.000499750124937531","626043.478, 0.000499750124937531","501632.215, 0.000499750124937531"
"694055.44, 0.000499750124937531","3408832.101, 0.000499750124937531","3360969.42, 0.000499750124937531","3409426.439, 0.000499750124937531","3409278.09, 0.000499750124937531","3408579.606, 0.000499750124937531","2059622.546, 0.000499750124937531","3405570.913, 0.000499750124937531","417208.558, 0.000499750124937531","104248.198, 0.000499750124937531","153682.765, 0.000499750124937531","6696.119, 0.000499750124937531","178264.438, 0.000499750124937531","92198.788, 0.000499750124937531","112554.161, 0.000499750124937531","11666.537, 0.000499750124937531","13610.859, 0.000499750124937531","3415452, 0.000499750124937531","5988.107, 0.000499750124937531","694349.351, 0.000499750124937531","3415203.634, 0.000499750124937531","5642.438, 0.000499750124937531","1295726.285, 0.000499750124937531","77296.271, 0.000499750124937531"
"4350.554, 0.000499750124937531","22651.419, 0.000499750124937531","20065.588, 0.000499750124937531","44510.158, 0.000499750124937531","68555.028, 0.000499750124937531","29110.761, 0.000499750124937531","25547.33, 0.000499750124937531","6012.941, 0.000499750124937531","11078.737, 0.000499750124937531","51354.944, 0.000499750124937531","7372.601, 0.000499750124937531","27.248, 0.000499750124937531","36931.459, 0.000499750124937531","2797.552, 0.000499750124937531","7890.988, 0.000499750124937531","3103.595, 0.000499750124937531","3328.339, 0.000499750124937531","5988.107, 0.000499750124937531","853863, 0.000499750124937531","4348.582, 0.000499750124937531","18925.026, 0.000499750124937531","117.028, 0.000499750124937531","148550.068, 0.000499750124937531","4043.344, 0.000499750124937531"
"18112525.246, 0.000499750124937531","5677388.227, 0.000499750124937531","7147008.382, 0.000499750124937531","11348337.289, 0.000499750124937531","12245853.866, 0.000499750124937531","13837618.07, 0.000499750124937531","9700790.992, 0.000499750124937531","693145.01, 0.000499750124937531","608634.178, 0.000499750124937531","36490.11, 0.000499750124937531","162757.156, 0.000499750124937531","18249.362, 0.000499750124937531","75323.704, 0.000499750124937531","36073.794, 0.000499750124937531","75932.443, 0.000499750124937531","11227.824, 0.000499750124937531","11092.931, 0.000499750124937531","694349.351, 0.000499750124937531","4348.582, 0.000499750124937531","22200438, 0.000499750124937531","4693956.826, 0.000499750124937531","116111.263, 0.000499750124937531","9335930.972, 0.000499750124937531","254735.667, 0.0169915042478761"
"5974407.265, 0.000499750124937531","14649766.852, 0.000499750124937531","15513488.463, 0.000499750124937531","20568673.573, 0.000499750124937531","22043559.037, 0.000499750124937531","21157214.8, 0.000499750124937531","19808546.018, 0.000499750124937531","3405900.302, 0.000499750124937531","1384379.967, 0.000499750124937531","227027.805, 0.000499750124937531","186935.878, 0.000499750124937531","118565.692, 0.000499750124937531","313547.143, 0.000499750124937531","123344.248, 0.000499750124937531","214046.974, 0.000499750124937531","20537.225, 0.000499750124937531","35384.22, 0.000499750124937531","3415203.634, 0.000499750124937531","18925.026, 0.000499750124937531","4693956.826, 0.000499750124937531","33300657, 0.000499750124937531","121185.118, 0.000499750124937531","13466934.513, 0.000499750124937531","278074.361, 0.0369815092453773"
"117369.374, 0.000499750124937531","102583.287, 0.000499750124937531","166636.72, 0.000499750124937531","373210.672, 0.000499750124937531","450382.31, 0.000499750124937531","292737.95, 0.000499750124937531","356235.679, 0.000499750124937531","5589.201, 0.000499750124937531","19556.587, 0.000499750124937531","2959.756, 0.000499750124937531","789.917, 0.000499750124937531","248.306, 0.000499750124937531","17397.559, 0.000499750124937531","2237.789, 0.000499750124937531","2016.704, 0.000499750124937531","1751.007, 0.000499750124937531","15467.888, 0.000499750124937531","5642.438, 0.000499750124937531","117.028, 0.000499750124937531","116111.263, 0.000499750124937531","121185.118, 0.000499750124937531","853863, 0.000499750124937531","488909.06, 0.000499750124937531","16857.389, 0.000499750124937531"
"10176462.569, 0.000499750124937531","13291975.152, 0.000499750124937531","21531690.544, 0.000499750124937531","77371489.171, 0.000499750124937531","146478415.8, 0.000499750124937531","32361405.139, 0.000499750124937531","92934578.123, 0.000499750124937531","1292974.261, 0.000499750124937531","19080128.899, 0.000499750124937531","756873.212, 0.000499750124937531","414873.052, 0.000499750124937531","341148.075, 0.000499750124937531","901163.133, 0.000499750124937531","190356.858, 0.000499750124937531","392720.787, 0.000499750124937531","138559.666, 0.000499750124937531","626043.478, 0.000499750124937531","1295726.285, 0.000499750124937531","148550.068, 0.000499750124937531","9335930.972, 0.000499750124937531","13466934.513, 0.000499750124937531","488909.06, 0.000499750124937531","11893457727, 0.000499750124937531","37725397.157, 0.000499750124937531"
"331756.432, 0.0169915042478761","215627.91, 0.000499750124937531","289131.076, 0.000499750124937531","1083572.483, 0.0179910044977511","1139721.152, 0.000499750124937531","453339.494, 0.0274862568715642","602255.703, 0.11344327836082","77859.681, 0.000499750124937531","128030.317, 0.707646176911544","19286.638, 0.000499750124937531","14690.88, 0.000499750124937531","980.835, 0.999500249875062","122588.313, 0.000499750124937531","10097.001, 0.000499750124937531","51157.529, 0.000499750124937531","21498.427, 0.000499750124937531","501632.215, 0.000499750124937531","77296.271, 0.000499750124937531","4043.344, 0.000499750124937531","254735.667, 0.0154922538730635","278074.361, 0.031984007996002","16857.389, 0.000499750124937531","37725397.157, 0.000499750124937531","2097941391, 0.000499750124937531"
