cd,schooldist,council,zipcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,zonedist1,spdist1,ltdheight,landuse,ext,proxcode,irrlotcode,lottype,borocode,edesignum,sanitdistrict,healthcenterdistrict,pfirm15_flag
"1024560, 0.000499750124937531","386485.978, 0.000499750124937531","474917.021, 0.000499750124937531","737131.572, 0.000499750124937531","847027.191, 0.000499750124937531","943318.951, 0.000499750124937531","527972.233, 0.000499750124937531","68269.405, 0.000499750124937531","49029.557, 0.000499750124937531","5876.262, 0.000499750124937531","7971.538, 0.000499750124937531","2042.649, 0.000499750124937531","8216.588, 0.000499750124937531","2718.965, 0.000499750124937531","4747.281, 0.000499750124937531","747.195, 0.000499750124937531","1763.251, 0.000499750124937531","68189.629, 0.000499750124937531","611.913, 0.000499750124937531","287931.933, 0.000499750124937531","372074.536, 0.000499750124937531","5160.928, 0.000499750124937531"
"386485.978, 0.000499750124937531","529356, 0.000499750124937531","292439.902, 0.000499750124937531","413808.218, 0.000499750124937531","458044.274, 0.000499750124937531","410559.769, 0.000499750124937531","281994.096, 0.000499750124937531","68229.543, 0.000499750124937531","33397.877, 0.000499750124937531","4675.869, 0.000499750124937531","3933.416, 0.000499750124937531","797.21, 0.000499750124937531","6478.12, 0.000499750124937531","2463.908, 0.000499750124937531","4320.048, 0.000499750124937531","429.015, 0.000499750124937531","933.204, 0.000499750124937531","68186.531, 0.000499750124937531","486.867, 0.000499750124937531","113910.194, 0.000499750124937531","291136.705, 0.000499750124937531","1989.146, 0.000499750124937531"
"474917.021, 0.000499750124937531","292439.902, 0.000499750124937531","853800, 0.000499750124937531","603896.931, 0.000499750124937531","676287.593, 0.000499750124937531","493382.263, 0.000499750124937531","442491.733, 0.000499750124937531","67032.821, 0.000499750124937531","46405.938, 0.000499750124937531","5596.1, 0.000499750124937531","7772.578, 0.000499750124937531","1349.632, 0.000499750124937531","7546.305, 0.000499750124937531","2628.521, 0.000499750124937531","4619.244, 0.000499750124937531","587.725, 0.000499750124937531","1321.091, 0.000499750124937531","67217.969, 0.000499750124937531","443.207, 0.000499750124937531","142655.147, 0.000499750124937531","309766.065, 0.000499750124937531","3333.52, 0.000499750124937531"
"737131.572, 0.000499750124937531","413808.218, 0.000499750124937531","603896.931, 0.000499750124937531","2988300, 0.000499750124937531","1905897.131, 0.000499750124937531","907420.021, 0.000499750124937531","1126995.303, 0.000499750124937531","68247.227, 0.000499750124937531","147781.156, 0.000499750124937531","9532.668, 0.000499750124937531","10829.849, 0.000499750124937531","8020.343, 0.000499750124937531","11359.906, 0.000499750124937531","3208.228, 0.000499750124937531","5841.677, 0.000499750124937531","1108.594, 0.000499750124937531","4378.54, 0.000999500249875062","68188.783, 0.000499750124937531","1560.932, 0.000499750124937531","218202.264, 0.000499750124937531","412969.547, 0.000499750124937531","7259.64, 0.000499750124937531"
"847027.191, 0.000499750124937531","458044.274, 0.000499750124937531","676287.593, 0.000499750124937531","1905897.131, 0.000499750124937531","5942448, 0.000499750124937531","1077195.056, 0.000499750124937531","1662357.539, 0.000499750124937531","68236.371, 0.000499750124937531","249784.651, 0.000499750124937531","14304.973, 0.000499750124937531","12410.106, 0.000499750124937531","9969.887, 0.000499750124937531","16707.504, 0.000499750124937531","3648.965, 0.000499750124937531","6788.303, 0.000499750124937531","1521.016, 0.000499750124937531","7223.959, 0.000499750124937531","68202.876, 0.000499750124937531","2423.731, 0.000499750124937531","245811.365, 0.000499750124937531","440930.63, 0.000499750124937531","8941.452, 0.000499750124937531"
"943318.951, 0.000499750124937531","410559.769, 0.000499750124937531","493382.263, 0.000499750124937531","907420.021, 0.000499750124937531","1077195.056, 0.000499750124937531","1280700, 0.000499750124937531","618580.735, 0.000499750124937531","68229.734, 0.000499750124937531","71871.627, 0.000499750124937531","6007.854, 0.000499750124937531","7685.037, 0.000499750124937531","4415.129, 0.000499750124937531","8410.179, 0.000499750124937531","2773.72, 0.000499750124937531","4845.976, 0.000499750124937531","775.394, 0.000499750124937531","2043.454, 0.000499750124937531","68189.629, 0.000499750124937531","756.991, 0.000499750124937531","277216.752, 0.000499750124937531","387323.728, 0.000499750124937531","5709.897, 0.000499750124937531"
"527972.233, 0.000499750124937531","281994.096, 0.000499750124937531","442491.733, 0.000499750124937531","1126995.303, 0.000499750124937531","1662357.539, 0.000499750124937531","618580.735, 0.000499750124937531","3500580, 0.000499750124937531","41535.82, 0.000499750124937531","135281.4, 0.000499750124937531","6012.53, 0.000499750124937531","9111.554, 0.000499750124937531","5005.255, 0.000499750124937531","9239.338, 0.000499750124937531","2708.13, 0.000499750124937531","4735.874, 0.000499750124937531","893.811, 0.000499750124937531","3041.71, 0.00249875062468766","41569.099, 0.000499750124937531","1105.223, 0.000499750124937531","194940.055, 0.000499750124937531","287062.306, 0.000499750124937531","7035.851, 0.000499750124937531"
"68269.405, 0.000499750124937531","68229.543, 0.000499750124937531","67032.821, 0.000499750124937531","68247.227, 0.000499750124937531","68236.371, 0.000499750124937531","68229.734, 0.000499750124937531","41535.82, 0.000499750124937531","68304, 0.000499750124937531","8423.515, 0.000499750124937531","2023.753, 0.000499750124937531","3062.332, 0.000499750124937531","112.518, 0.000499750124937531","3469.601, 0.000499750124937531","1814.295, 0.000499750124937531","2261.894, 0.000499750124937531","279.438, 0.000499750124937531","292.567, 0.000499750124937531","68110.598, 0.000499750124937531","118.655, 0.000499750124937531","13827.263, 0.000499750124937531","68115.319, 0.000499750124937531","111.221, 0.000499750124937531"
"49029.557, 0.000499750124937531","33397.877, 0.000499750124937531","46405.938, 0.000499750124937531","147781.156, 0.000499750124937531","249784.651, 0.000499750124937531","71871.627, 0.000499750124937531","135281.4, 0.000499750124937531","8423.515, 0.000499750124937531","853800, 0.000499750124937531","2168.447, 0.000499750124937531","660.446, 0.000499750124937531","396.909, 0.00149925037481259","4017.068, 0.000499750124937531","1108.653, 0.000499750124937531","1891.082, 0.000499750124937531","147.881, 0.000499750124937531","625.98, 0.063968015992004","8407.524, 0.000499750124937531","227.055, 0.000999500249875062","12200.085, 0.000499750124937531","28474.11, 0.000499750124937531","465.962, 0.000499750124937531"
"5876.262, 0.000499750124937531","4675.869, 0.000499750124937531","5596.1, 0.000499750124937531","9532.668, 0.000499750124937531","14304.973, 0.000499750124937531","6007.854, 0.000499750124937531","6012.53, 0.000499750124937531","2023.753, 0.000499750124937531","2168.447, 0.000499750124937531","51228, 0.000499750124937531","906.996, 0.000499750124937531","4.146, 0.198900549725137","7488.305, 0.000499750124937531","353.005, 0.000499750124937531","1024.864, 0.000499750124937531","392.32, 0.000499750124937531","525.701, 0.000499750124937531","2015.097, 0.000499750124937531","1129.348, 0.000499750124937531","828.933, 0.000499750124937531","4881.819, 0.000499750124937531","49.811, 0.000499750124937531"
"7971.538, 0.000499750124937531","3933.416, 0.000499750124937531","7772.578, 0.000499750124937531","10829.849, 0.000499750124937531","12410.106, 0.000499750124937531","7685.037, 0.000499750124937531","9111.554, 0.000499750124937531","3062.332, 0.000499750124937531","660.446, 0.000499750124937531","906.996, 0.000499750124937531","17076, 0.000499750124937531","6.174, 0.0224887556221889","312.209, 0.000499750124937531","122.867, 0.000499750124937531","57.965, 0.000499750124937531","143.351, 0.000499750124937531","54.915, 0.000499750124937531","3060.19, 0.000499750124937531","162.584, 0.000499750124937531","3253.641, 0.000499750124937531","3760.526, 0.000499750124937531","18.874, 0.000499750124937531"
"2042.649, 0.000499750124937531","797.21, 0.000499750124937531","1349.632, 0.000499750124937531","8020.343, 0.000499750124937531","9969.887, 0.000499750124937531","4415.129, 0.000499750124937531","5005.255, 0.000499750124937531","112.518, 0.000499750124937531","396.909, 0.000999500249875062","4.146, 0.183908045977011","6.174, 0.0114942528735632","17076, 0.000499750124937531","91.305, 0.000499750124937531","8.174, 0.00699650174912544","35.418, 0.000499750124937531","1.516, 0.303848075962019","9.71, 0.239880059970015","112.406, 0.000499750124937531","0.671, 0.652173913043478","397.675, 0.000499750124937531","2552.511, 0.000499750124937531","4.923, 0.0249875062468766"
"8216.588, 0.000499750124937531","6478.12, 0.000499750124937531","7546.305, 0.000499750124937531","11359.906, 0.000499750124937531","16707.504, 0.000499750124937531","8410.179, 0.000499750124937531","9239.338, 0.000499750124937531","3469.601, 0.000499750124937531","4017.068, 0.000499750124937531","7488.305, 0.000499750124937531","312.209, 0.000499750124937531","91.305, 0.000499750124937531","187836, 0.000499750124937531","1703.3, 0.000499750124937531","9292.974, 0.000499750124937531","1294.613, 0.000499750124937531","3162.698, 0.000499750124937531","3480.533, 0.000499750124937531","889.753, 0.000499750124937531","1550.882, 0.000499750124937531","6488.287, 0.000499750124937531","418.831, 0.000499750124937531"
"2718.965, 0.000499750124937531","2463.908, 0.000499750124937531","2628.521, 0.000499750124937531","3208.228, 0.000499750124937531","3648.965, 0.000499750124937531","2773.72, 0.000499750124937531","2708.13, 0.000499750124937531","1814.295, 0.000499750124937531","1108.653, 0.000499750124937531","353.005, 0.000499750124937531","122.867, 0.000499750124937531","8.174, 0.00649675162418791","1703.3, 0.000499750124937531","17076, 0.000499750124937531","2078.143, 0.000499750124937531","139.163, 0.000499750124937531","180.98, 0.000499750124937531","1814.185, 0.000499750124937531","45.159, 0.000499750124937531","663.194, 0.000499750124937531","2411.998, 0.000499750124937531","24.256, 0.000499750124937531"
"4747.281, 0.000499750124937531","4320.048, 0.000499750124937531","4619.244, 0.000499750124937531","5841.677, 0.000499750124937531","6788.303, 0.000499750124937531","4845.976, 0.000499750124937531","4735.874, 0.000499750124937531","2261.894, 0.000499750124937531","1891.082, 0.000499750124937531","1024.864, 0.000499750124937531","57.965, 0.000499750124937531","35.418, 0.000499750124937531","9292.974, 0.000499750124937531","2078.143, 0.000499750124937531","34152, 0.000499750124937531","457.568, 0.000499750124937531","909.562, 0.000499750124937531","2260.556, 0.000499750124937531","217.295, 0.000499750124937531","1512.748, 0.000499750124937531","4303.758, 0.000499750124937531","47.896, 0.000499750124937531"
"747.195, 0.000499750124937531","429.015, 0.000499750124937531","587.725, 0.000499750124937531","1108.594, 0.000499750124937531","1521.016, 0.000499750124937531","775.394, 0.000499750124937531","893.811, 0.000499750124937531","279.438, 0.000499750124937531","147.881, 0.000499750124937531","392.32, 0.000499750124937531","143.351, 0.000499750124937531","1.516, 0.316341829085457","1294.613, 0.000499750124937531","139.163, 0.000499750124937531","457.568, 0.000499750124937531","17076, 0.000499750124937531","707.77, 0.000499750124937531","277.554, 0.000499750124937531","66.864, 0.000499750124937531","255.987, 0.000499750124937531","483.136, 0.000499750124937531","24.588, 0.000499750124937531"
"1763.251, 0.000499750124937531","933.204, 0.000499750124937531","1321.091, 0.000499750124937531","4378.54, 0.000499750124937531","7223.959, 0.000499750124937531","2043.454, 0.000499750124937531","3041.71, 0.00249875062468766","292.567, 0.000499750124937531","625.98, 0.0664667666166917","525.701, 0.000499750124937531","54.915, 0.000499750124937531","9.71, 0.23288355822089","3162.698, 0.000499750124937531","180.98, 0.000499750124937531","909.562, 0.000499750124937531","707.77, 0.000499750124937531","136608, 0.000499750124937531","292.704, 0.000499750124937531","218.369, 0.000499750124937531","297.067, 0.000499750124937531","948.389, 0.000499750124937531","248.265, 0.000499750124937531"
"68189.629, 0.000499750124937531","68186.531, 0.000499750124937531","67217.969, 0.000499750124937531","68188.783, 0.000499750124937531","68202.876, 0.000499750124937531","68189.629, 0.000499750124937531","41569.099, 0.000499750124937531","68110.598, 0.000499750124937531","8407.524, 0.000499750124937531","2015.097, 0.000499750124937531","3060.19, 0.000499750124937531","112.406, 0.000499750124937531","3480.533, 0.000499750124937531","1814.185, 0.000499750124937531","2260.556, 0.000499750124937531","277.554, 0.000499750124937531","292.704, 0.000499750124937531","68304, 0.000499750124937531","118.426, 0.000499750124937531","13847.076, 0.000499750124937531","68304, 0.000499750124937531","110.522, 0.000499750124937531"
"611.913, 0.000499750124937531","486.867, 0.000499750124937531","443.207, 0.000499750124937531","1560.932, 0.000499750124937531","2423.731, 0.000499750124937531","756.991, 0.000499750124937531","1105.223, 0.000499750124937531","118.655, 0.000499750124937531","227.055, 0.000999500249875062","1129.348, 0.000499750124937531","162.584, 0.000499750124937531","0.671, 0.651674162918541","889.753, 0.000499750124937531","45.159, 0.000499750124937531","217.295, 0.000499750124937531","66.864, 0.000499750124937531","218.369, 0.000499750124937531","118.426, 0.000499750124937531","17076, 0.000499750124937531","107.808, 0.000499750124937531","369.872, 0.000499750124937531","1.419, 0.252873563218391"
"287931.933, 0.000499750124937531","113910.194, 0.000499750124937531","142655.147, 0.000499750124937531","218202.264, 0.000499750124937531","245811.365, 0.000499750124937531","277216.752, 0.000499750124937531","194940.055, 0.000499750124937531","13827.263, 0.000499750124937531","12200.085, 0.000499750124937531","828.933, 0.000499750124937531","3253.641, 0.000499750124937531","397.675, 0.000499750124937531","1550.882, 0.000499750124937531","663.194, 0.000499750124937531","1512.748, 0.000499750124937531","255.987, 0.000499750124937531","297.067, 0.000499750124937531","13847.076, 0.000499750124937531","107.808, 0.000499750124937531","290292, 0.000499750124937531","93643.307, 0.000499750124937531","2319.752, 0.000499750124937531"
"372074.536, 0.000499750124937531","291136.705, 0.000499750124937531","309766.065, 0.000499750124937531","412969.547, 0.000499750124937531","440930.63, 0.000499750124937531","387323.728, 0.000499750124937531","287062.306, 0.000499750124937531","68115.319, 0.000499750124937531","28474.11, 0.000499750124937531","4881.819, 0.000499750124937531","3760.526, 0.000499750124937531","2552.511, 0.000499750124937531","6488.287, 0.000499750124937531","2411.998, 0.000499750124937531","4303.758, 0.000499750124937531","483.136, 0.000499750124937531","948.389, 0.000499750124937531","68304, 0.000499750124937531","369.872, 0.000499750124937531","93643.307, 0.000499750124937531","495204, 0.000499750124937531","2314.394, 0.000499750124937531"
"5160.928, 0.000499750124937531","1989.146, 0.000499750124937531","3333.52, 0.000499750124937531","7259.64, 0.000499750124937531","8941.452, 0.000499750124937531","5709.897, 0.000499750124937531","7035.851, 0.000499750124937531","111.221, 0.000499750124937531","465.962, 0.000499750124937531","49.811, 0.000499750124937531","18.874, 0.000499750124937531","4.923, 0.0294852573713143","418.831, 0.000499750124937531","24.256, 0.000499750124937531","47.896, 0.000499750124937531","24.588, 0.000499750124937531","248.265, 0.000499750124937531","110.522, 0.000499750124937531","1.419, 0.254872563718141","2319.752, 0.000499750124937531","2314.394, 0.000499750124937531","17076, 0.000499750124937531"
